mandal_name,village_code,village_name
563,593515,Bhagampalle
317,585919,Bhagavathula Agraharam
612,580811,Bhagempeta
578,580977,Bhaghavanupuram
147,582755,Bhagiradhapuram
194,580719,Bhagiradhipuram
337,582630,Bhagirathipuram Agraharam
73,594936,Bhairasamudram
73,594936,Bhairasamudram
47,582301,Bhairipuram
103,596047,Bhakarapet
224,590349,Bhallukanudupalem
60,580084,Bhamini
401,586119,Bhandevupuram
413,593996,Bhanumukkala
413,593996,Bhanumukkala
413,593996,Bhanumukkala
478,583196,Bharanikam
416,586165,Bharinikam
406,580747,Bhasuru
406,580747,Bhasuru
535,591323,Bhatla Machavaram
216,587726,Bhatla Palika
349,590784,Bhatla Palle
341,589676,Bhatla Penumarru
394,592479,Bhatlakanupuru
452,588644,Bhatlamagutur
22,586197,Bhatlapudi
79,586247,Bhatlova
539,590025,Bhatlur
539,590025,Bhatlur
17,587878,Bhatnavilli
17,587878,Bhatnavilli
118,589851,Bhatrupalem
118,589851,Bhatrupalem
61,590426,Bhattiprolu
61,590426,Bhattiprolu
359,589780,Bhavadevarapalle
532,581019,Bhavanapadu @ Madyapeta
319,586308,Bheemaboina Palem
477,596546,Bheemaganipalle
477,596546,Bheemaganipalle
438,592863,Bheemagundam
493,587652,Bheemakrosupalem
302,583058,Bheemali
603,587892,Bheemanapalle
603,587892,Bheemanapalle
23,586086,Bheemannadorapalem
209,583109,Bheemasingi
43,582528,Bheemavaram
88,596016,Bheemavaram
120,592287,Bheemavaram
331,591794,Bheemavaram
337,582612,Bheemavaram
349,590780,Bheemavaram
361,592637,Bheemavaram
373,594305,Bheemavaram
523,586478,Bheemavaram
598,591597,Bheemavaram
565,592785,Bheemulavaripalem
377,596281,Bheemunicheruvu
377,596281,Bheemunicheruvu
261,594510,Bheemunipadu
63,588356,Bhimadole
2,588697,Bhimalapuram
2,588697,Bhimalapuram
201,590743,Bhimavaram
